product_id,total_reviews,avg_star_rating,avg_sentiment
B0000T15LY,1,5.0,-0.9393
B0000T4LYC,4,5.0,0.8978
B0000T4Q60,1,4.0,0.6361
B0000T6VOU,2,3.5,0.2293
B0000T6Z9G,1,3.0,0.8689
B0000T6ZY6,1,5.0,0.8908
B0000TA2TK,1,5.0,0.0516
B0000TA3BW,2,5.0,0.8573
B0000TA3QM,3,5.0,0.8138
B0000TA3QW,1,5.0,0.989
B0000TBK64,2,5.0,-0.035
B0000TBK6O,2,5.0,0.8997
B0000TL5HI,1,4.0,0.9638
B0000TL5VO,1,4.0,0.9231
B0000TL5WS,2,4.0,0.8768
B0000TLEEW,2,3.0,0.7854
B0000TLEQK,1,5.0,0.8658
B0000TLES8,1,5.0,0.9477
B0000TLEUQ,1,5.0,0.8934
B0000TLEWO,1,4.0,0.802
B0000TLF14,1,5.0,0.76
B0000TLF3W,2,3.0,0.7362
B0000TLFD2,1,4.0,0.875
B0000TLFEQ,2,5.0,0.9544
B0000TLFFK,1,5.0,0.9587
B0000TLFIC,1,5.0,0.8481
B0000TLFJG,1,5.0,0.5994
B0000TLFLO,1,5.0,0.9477
B0000TLK9Q,1,3.0,-0.7906
B0000TLRIA,2,3.5,0.6936
B0000TM9FU,1,5.0,0.9832
B0000TM9G4,2,4.5,0.8238
B0000TM9GO,2,4.5,0.1315
B0000TSQ6G,5,4.2,0.852
B0000TSQ6Q,12,4.3333,0.8626
B0000TU6P0,2,3.0,0.8535
B0000TU8D0,1,1.0,0.4019
B0000TU8VM,1,5.0,0.8779
B0000TU98E,1,5.0,0.8658
B0000TVU8W,1,4.0,0.9169
B0000TVUQE,2,5.0,0.5749
B0000TWIOW,1,5.0,0.9638
B0000TWLJE,1,5.0,0.982
B0000TWLJO,4,4.75,0.9046
B0000TYYFI,1,5.0,0.9698
B0000TZ1G4,1,5.0,0.8221
B0000TZ204,2,5.0,0.9849
B0000U10VI,1,4.0,0.7574
B0000U10X6,1,5.0,0.9606
B0000U10XG,1,5.0,0.9924
B0000U11DA,1,5.0,0.8848
B0000U1OGE,1,5.0,0.6597
B0000U3AQ6,3,5.0,0.9444
B0000U3AYI,1,5.0,0.8934
B0000U7MKG,1,3.0,0.8225
B0000U7OZE,1,5.0,0.8412
B0000UBTY6,3,5.0,0.9197
B0000UBTYG,1,5.0,0.8225
B0000UBTZA,1,5.0,0.8122
B0000UC7RE,1,4.0,0.9337
B0000UJAVA,1,5.0,0.9846
B0000UVR70,3,2.3333,-0.0174
B0000UVRD4,1,4.0,0.988
B0000UVRDY,1,5.0,0.9621
B0000UVRP2,2,5.0,0.449
B0000V09L4,3,3.6667,0.6513
B0000V1AZ8,1,5.0,0.8442
B0000V1B0C,1,5.0,0.8689
B0000V1B0W,2,5.0,0.9378
B0000V1B2U,1,5.0,0.7351
B0000V1B3E,2,5.0,0.8496
B0000V1B3O,1,1.0,-0.8079
B0000V1B3Y,3,5.0,0.8521
B0000V1B4I,6,4.5,0.6409
B0000V1BCA,1,4.0,0.4284
B0000V1BCK,1,4.0,0.9336
B0000V1BF2,2,3.5,0.7412
B0000V1BK2,1,2.0,0.8221
B0000V7732,1,5.0,0.9479
B0000V828G,3,5.0,0.9326
B0000V829K,2,5.0,0.9496
B0000V8HTU,8,5.0,0.8778
B0000V8IOE,25,3.72,0.5935
B0000VJ55U,6,4.6667,0.6861
B0000VJA5K,1,1.0,-0.7506
B0000VLETA,4,3.5,0.7031
B0000VLHKQ,1,2.0,0.101
B0000VLR2E,1,4.0,0.9658
B0000VLR9M,1,2.0,0.8554
B0000VLTZY,4,3.0,0.5703
B0000VLU0I,3,3.6667,0.5187
B0000VM8TK,2,1.0,-0.4481
B0000VM8VS,1,5.0,0.8779
B0000VMA0C,1,2.0,-0.664
B0000VMAS4,1,5.0,0.9831
B0000VMASE,1,5.0,0.946
B0000VMBDI,1,5.0,0.6249
B0000VOQNG,1,5.0,0.7269
B0000VYKXC,1,5.0,0.51
B0000VYKZA,1,5.0,0.8883
B0000VZ6HG,1,4.0,0.8225
B0000VZPIQ,1,1.0,-0.0772
